Order_ID,Order_Date,Region,Segment,Category,Product,Quantity,Sales,Profit
1,2024-10-16,Central,Consumer,Furniture,Chair,9,350.35,68.17
2,2023-03-31,East,Consumer,Technology,Mouse,10,158.67,-1.1
3,2023-01-28,South,Consumer,Technology,Monitor,1,684.83,7.72
4,2023-06-13,Central,Corporate,Technology,Mouse,6,250.11,70.75
5,2023-04-15,East,Corporate,Furniture,Filing Cabinet,1,1274.29,180.3
6,2024-04-15,South,Consumer,Technology,Laptop,10,837.02,193.99
7,2024-01-06,East,Consumer,Technology,Monitor,2,998.67,208.95
8,2023-08-27,Central,Corporate,Furniture,Filing Cabinet,6,960.81,44.13
9,2023-12-30,East,Home Office,Furniture,Bookcase,4,959.77,109.08
10,2023-06-17,Central,Home Office,Office Supplies,Storage Box,6,1038.48,-12.62
11,2023-02-27,Central,Corporate,Furniture,Chair,10,416.26,-6.5
12,2023-11-19,South,Home Office,Furniture,Filing Cabinet,4,699.1,4.16
13,2024-07-28,South,Home Office,Technology,Keyboard,3,611.11,-7.5
14,2024-06-05,East,Consumer,Office Supplies,Paper,7,246.21,-8.87
15,2024-09-02,South,Home Office,Furniture,Filing Cabinet,9,1494.26,166.83
16,2023-01-12,Central,Home Office,Technology,Laptop,3,523.46,9.11
17,2024-04-09,West,Home Office,Furniture,Bookcase,5,1370.69,340.22
18,2024-10-16,West,Consumer,Technology,Printer,9,573.39,-20.29
19,2023-01-01,South,Consumer,Technology,Keyboard,5,185.56,8.39
20,2023-09-03,East,Consumer,Furniture,Table,9,1103.22,249.78
21,2023-05-09,West,Corporate,Furniture,Filing Cabinet,4,800.96,114.25
22,2024-07-06,Central,Corporate,Technology,Monitor,8,1492.82,238.78
23,2024-06-13,West,Consumer,Office Supplies,Paper,9,114.76,-10.51
24,2023-08-24,East,Consumer,Technology,Monitor,2,1067.6,-81.62
25,2023-02-02,West,Corporate,Office Supplies,Paper,3,1010.09,-14.45
26,2024-08-07,West,Corporate,Technology,Mouse,2,1215.1,-28.96
27,2024-11-05,South,Corporate,Office Supplies,Pen,2,711.2,136.29
28,2023-03-04,East,Consumer,Office Supplies,Pen,3,303.55,34.76
29,2024-03-08,South,Consumer,Furniture,Bookcase,9,1314.24,-91.79
30,2023-04-11,East,Consumer,Furniture,Chair,4,266.14,25.09
31,2024-02-15,South,Consumer,Furniture,Table,8,1478.26,8.99
32,2023-10-20,West,Consumer,Office Supplies,Storage Box,10,459.13,131.99
33,2024-07-09,East,Consumer,Furniture,Bookcase,9,884.58,89.47
34,2023-06-11,West,Consumer,Furniture,Chair,4,900.65,153.19
35,2024-02-18,East,Home Office,Furniture,Table,10,141.34,23.03
36,2024-06-19,West,Home Office,Office Supplies,Pen,7,1079.96,-4.89
37,2023-05-15,South,Corporate,Technology,Keyboard,1,1394.95,382.63
38,2024-04-14,East,Consumer,Technology,Printer,3,815.7,83.49
39,2023-12-24,Central,Corporate,Furniture,Table,5,253.47,59.18
40,2024-09-18,East,Home Office,Technology,Printer,2,1229.31,24.28
41,2023-05-18,East,Home Office,Office Supplies,Paper,10,838.77,7.5
42,2023-08-04,West,Home Office,Technology,Keyboard,8,958.67,5.36
43,2023-09-15,South,Corporate,Furniture,Chair,3,85.25,2.85
44,2024-10-14,South,Home Office,Office Supplies,Binder,2,1064.39,132.37
45,2023-03-19,East,Corporate,Technology,Monitor,3,882.11,-35.96
46,2023-02-12,East,Corporate,Office Supplies,Pen,2,330.91,-0.06
47,2023-12-29,West,Consumer,Technology,Mouse,3,1299.62,377.52
48,2024-02-27,Central,Corporate,Furniture,Table,4,1207.31,296.55
49,2023-10-01,South,Consumer,Furniture,Chair,8,1290.72,-14.23
50,2023-12-25,West,Consumer,Office Supplies,Binder,5,996.85,59.2
51,2023-03-13,South,Home Office,Office Supplies,Pen,1,1472.1,168.54
52,2023-04-29,Central,Consumer,Office Supplies,Binder,6,180.44,13.32
53,2024-03-22,East,Corporate,Technology,Printer,1,1351.27,-32.39
54,2024-12-26,West,Corporate,Office Supplies,Paper,6,658.32,184.03
55,2024-09-30,Central,Home Office,Office Supplies,Paper,7,477.74,30.27
56,2024-12-14,West,Corporate,Office Supplies,Binder,3,1004.1,51.87
57,2024-09-22,South,Home Office,Technology,Keyboard,4,1253.91,27.02
58,2024-03-16,Central,Corporate,Technology,Printer,9,673.84,114.72
59,2024-04-29,East,Corporate,Technology,Monitor,6,782.87,119.92
60,2023-04-06,West,Consumer,Furniture,Bookcase,8,238.08,-19.41
61,2024-09-17,South,Home Office,Furniture,Filing Cabinet,7,871.99,163.36
